x,Primera_Adelante,Primera_Atras,Primera_Centrada,Segunda_Adelante,Segunda_Atras,Segunda_Centrada
-2,8.5625,-16,-7.4375,-10.5,-64,98.25
-1.75,5.9375,8.5625,14.5,-9,98.25,-10.5
-1.5,3.6875,5.9375,9.625,-7.5,-10.5,-9
-1.25,1.8125,3.6875,5.5,-6,-9,-7.5
-1,0.3125,1.8125,2.125,-4.5,-7.5,-6
-0.75,-0.8125,0.3125,-0.5,-3,-6,-4.5
-0.5,-1.5625,-0.8125,-2.375,-1.5,-4.5,-3
-0.25,-1.9375,-1.5625,-3.5,0,-3,-1.5
0,-1.9375,-1.9375,-3.875,1.5,-1.5,0
0.25,-1.5625,-1.9375,-3.5,3,0,1.5
0.5,-0.8125,-1.5625,-2.375,4.5,1.5,3
0.75,0.3125,-0.8125,-0.5,6,3,4.5
1,1.8125,0.3125,2.125,7.5,4.5,6
1.25,3.6875,1.8125,5.5,9,6,7.5
1.5,5.9375,3.6875,9.625,10.5,7.5,9
1.75,8.5625,5.9375,14.5,-98.25,9,10.5
2,-16,8.5625,-7.4375,64,10.5,-98.25
